球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO,期間
横浜DeNAベイスターズ,梶原 昂希,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,蝦名 達夫,外野手,0.360,25,4,9,4,0,0,1,5,1,0,0,0,0,0.286,0.520,0.806,0.160,2026/05/26_2026/05/31
横浜DeNAベイスターズ,関根 大気,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,濱 将乃介,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,ヒュンメル,外野手,0.167,12,0,2,1,0,0,1,7,0,1,0,0,1,0.200,0.250,0.450,0.083,2026/05/26_2026/05/31
横浜DeNAベイスターズ,上甲 凌大,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,近藤 大雅,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,小笠原 蒼,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,西巻 賢二,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,清水 詩太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,高見澤 郁魅,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,小針 大輝,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
広島東洋カープ,會澤 翼,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
広島東洋カープ,坂倉 将吾,捕手,0.136,22,0,3,1,0,0,2,7,0,1,0,0,1,0.154,0.182,0.336,0.045,2026/05/26_2026/05/31
広島東洋カープ,石原 貴規,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
広島東洋カープ,持丸 泰輝,捕手,0.188,16,1,3,0,0,1,2,5,1,1,0,0,0,0.238,0.375,0.613,0.188,2026/05/26_2026/05/31
広島東洋カープ,清水 叶人,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
広島東洋カープ,髙木 翔斗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
広島東洋カープ,羽月 隆太郎,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
広島東洋カープ,勝田 成,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
広島東洋カープ,矢野 雅哉,内野手,0.286,14,3,4,0,0,0,0,6,2,0,0,0,0,0.300,0.286,0.586,0.000,2026/05/26_2026/05/31
広島東洋カープ,小園 海斗,内野手,0.077,13,1,1,1,0,0,0,1,0,0,0,0,0,0.071,0.154,0.225,0.077,2026/05/26_2026/05/31
広島東洋カープ,堂林 翔太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
広島東洋カープ,佐々木 泰,内野手,0.125,8,0,1,0,0,0,0,0,0,0,0,0,0,0.111,0.125,0.236,0.000,2026/05/26_2026/05/31
広島東洋カープ,菊池 涼介,内野手,0.227,22,1,5,2,0,0,1,3,1,0,0,0,0,0.214,0.318,0.532,0.091,2026/05/26_2026/05/31
広島東洋カープ,林 晃汰,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
