試合ID,試合日,曜日,リーグ区分,ホーム/ビジター,球団,対戦球団,投手フルネーム,登板順,登板区分,結果,投球数,打者,投球回,投球回(アウト),奪三振,暴投,ボーク,失点,自責点,試合防御率
20260702_F-B_15,2026-07-02,木,パ・リーグ公式戦,ホーム,北海道日本ハムファイターズ,オリックス・バファローズ,齋藤 友貴哉,3,救援,,18,5,1,3,2,0,0,0,0,0.00
20260702_F-B_15,2026-07-02,木,パ・リーグ公式戦,ホーム,北海道日本ハムファイターズ,オリックス・バファローズ,上原 健太,4,救援,,13,3,1,3,2,0,0,0,0,0.00
20260701_F-B_14,2026-07-01,水,パ・リーグ公式戦,ビジター,オリックス・バファローズ,北海道日本ハムファイターズ,田嶋 大樹,1,先発,敗,104,29,7,21,6,0,0,4,4,5.14
20260701_F-B_14,2026-07-01,水,パ・リーグ公式戦,ビジター,オリックス・バファローズ,北海道日本ハムファイターズ,宮國 凌空,2,救援,,11,5,1,3,0,0,0,2,2,18.00
20260701_H-L_13,2026-07-01,水,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,福岡ソフトバンクホークス,Ａ．ワイナンス,1,先発,敗,98,24,4,12,4,0,0,7,6,13.50
20260701_H-L_13,2026-07-01,水,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,福岡ソフトバンクホークス,上田 大河,2,救援,,55,12,3,9,5,0,0,2,2,6.00
20260701_H-L_13,2026-07-01,水,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,福岡ソフトバンクホークス,成田 晴風,3,救援,,32,7,1,3,0,0,0,2,2,18.00
20260701_E-M_12,2026-07-01,水,パ・リーグ公式戦,ビジター,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,河村 説人,1,先発,勝,113,28,7,21,3,0,0,0,0,0.00
20260701_E-M_12,2026-07-01,水,パ・リーグ公式戦,ビジター,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,八木 彬,2,救援,,19,5,1,3,1,0,0,0,0,0.00
20260701_E-M_12,2026-07-01,水,パ・リーグ公式戦,ビジター,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,益田 直也,3,救援,,8,3,1,3,1,0,0,0,0,0.00
20260701_G-S_13,2026-07-01,水,セ・リーグ公式戦,ビジター,東京ヤクルトスワローズ,読売ジャイアンツ,奥川 恭伸,1,先発,敗,108,30,7,21,7,0,0,2,2,2.57
20260701_G-S_13,2026-07-01,水,セ・リーグ公式戦,ビジター,東京ヤクルトスワローズ,読売ジャイアンツ,廣澤 優,2,救援,,7,4,1,3,0,0,0,0,0,0.00
20260701_E-M_12,2026-07-01,水,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,瀧中 瞭太,1,先発,敗,97,26,5.1,16,1,0,0,5,4,6.75
20260701_E-M_12,2026-07-01,水,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,藤原 聡大,2,救援,,26,6,1.2,5,0,0,0,0,0,0.00
20260701_E-M_12,2026-07-01,水,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,中込 陽翔,3,救援,,12,3,1,3,0,0,0,0,0,0.00
20260701_E-M_12,2026-07-01,水,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,日當 直喜,4,救援,,16,4,1,3,2,0,0,0,0,0.00
20260701_G-S_13,2026-07-01,水,セ・リーグ公式戦,ホーム,読売ジャイアンツ,東京ヤクルトスワローズ,西舘 勇陽,1,先発,,23,6,1+,3,0,0,0,0,0,0.00
20260701_G-S_13,2026-07-01,水,セ・リーグ公式戦,ホーム,読売ジャイアンツ,東京ヤクルトスワローズ,田和 廉,2,救援,H,14,3,1,3,0,0,0,0,0,0.00
20260701_G-S_13,2026-07-01,水,セ・リーグ公式戦,ホーム,読売ジャイアンツ,東京ヤクルトスワローズ,赤星 優志,3,救援,,55,16,4,12,5,0,0,1,1,2.25
20260701_G-S_13,2026-07-01,水,セ・リーグ公式戦,ホーム,読売ジャイアンツ,東京ヤクルトスワローズ,船迫 大雅,4,救援,勝,18,3,1,3,1,0,0,0,0,0.00
20260701_G-S_13,2026-07-01,水,セ・リーグ公式戦,ホーム,読売ジャイアンツ,東京ヤクルトスワローズ,田中 瑛斗,5,救援,H,18,5,1,3,0,0,0,0,0,0.00
20260701_G-S_13,2026-07-01,水,セ・リーグ公式戦,ホーム,読売ジャイアンツ,東京ヤクルトスワローズ,Ｒ．マルティネス,6,救援,S,21,4,1,3,2,0,0,0,0,0.00
20260701_H-L_13,2026-07-01,水,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,埼玉西武ライオンズ,前田 悠伍,1,先発,勝,98,27,7,21,5,1,0,0,0,0.00
