球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO
中日ドラゴンズ,福永 裕基,内野手,0.205,39,1,8,1,0,0,1,10,4,0,0,0,1,0.235,0.231,0.466,0.026
中日ドラゴンズ,サノー,内野手,0.150,20,1,3,0,0,1,3,6,0,0,0,0,0,0.130,0.300,0.430,0.150
中日ドラゴンズ,石川 昂弥,内野手,0.281,57,8,16,5,0,4,8,15,4,0,0,0,1,0.260,0.579,0.839,0.298
中日ドラゴンズ,森 駿太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,土田 龍空,内野手,0.000,3,1,0,0,0,0,0,2,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,阿部 寿樹,内野手,0.235,34,3,8,1,0,0,1,9,8,0,1,0,0,0.320,0.265,0.585,0.029
中日ドラゴンズ,新保 茉良,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,山本 泰寛,内野手,0.240,25,1,6,1,0,0,1,4,2,0,2,0,0,0.242,0.280,0.522,0.040
中日ドラゴンズ,板山 祐太郎,内野手,0.244,41,3,10,1,0,1,3,10,3,0,0,0,0,0.241,0.341,0.582,0.098
中日ドラゴンズ,知野 直人,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,ロドリゲス,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,樋口 正修,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,尾田 剛樹,外野手,1.000,1,2,1,0,0,0,0,0,0,0,0,1,0,0.500,1.000,1.500,0.000
中日ドラゴンズ,岡林 勇希,外野手,0.324,34,4,11,1,0,0,3,6,5,0,1,0,0,0.320,0.353,0.673,0.029
中日ドラゴンズ,大島 洋平,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,ボスラー,外野手,0.105,19,0,2,0,0,0,0,9,0,0,0,0,0,0.095,0.105,0.201,0.000
中日ドラゴンズ,ブライト 健太,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,川越 誠司,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,上林 誠知,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,細川 成也,外野手,0.159,63,6,10,1,0,4,13,21,12,0,0,0,0,0.259,0.365,0.624,0.206
