球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO,期間
広島東洋カープ,ファビアン,外野手,0.2,20,3,4,0,0,3,6,5,0,0,0,0,0,0.2,0.65,0.85,0.45,2026/07/08_2026/07/13
広島東洋カープ,名原 典彦,外野手,0.05555555556,18,2,1,1,0,0,0,5,3,0,0,0,0,0.1904761905,0.1111111111,0.3015873016,0.05555555556,2026/07/08_2026/07/13
広島東洋カープ,中村 奨成,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
広島東洋カープ,中村 貴浩,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
広島東洋カープ,安竹 俊喜,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
広島東洋カープ,小林 結太,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
広島東洋カープ,岸本 大希,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
広島東洋カープ,ラミレス,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
広島東洋カープ,ロベルト,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
中日ドラゴンズ,石伊 雄太,捕手,0.2,15,1,3,2,0,0,2,3,0,0,0,0,0,0.2,0.3333333333,0.5333333333,0.1333333333,2026/07/08_2026/07/13
中日ドラゴンズ,木下 拓哉,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
中日ドラゴンズ,宇佐見 真吾,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
中日ドラゴンズ,味谷 大誠,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
中日ドラゴンズ,加藤 匠馬,捕手,0.25,4,0,1,0,0,0,0,1,0,0,0,0,0,0.25,0.25,0.5,0,2026/07/08_2026/07/13
中日ドラゴンズ,石橋 康太,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
中日ドラゴンズ,辻本 倫太郎,内野手,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2026/07/08_2026/07/13
