球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO
中日ドラゴンズ,福永 裕基,内野手,0.242,33,1,8,1,0,0,1,10,3,0,0,0,1,0.250,0.273,0.523,0.030
中日ドラゴンズ,サノー,内野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,石川 昂弥,内野手,0.237,38,4,9,4,0,2,5,13,2,0,0,0,1,0.224,0.500,0.724,0.263
中日ドラゴンズ,森 駿太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,土田 龍空,内野手,0.000,3,0,0,0,0,0,0,2,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,阿部 寿樹,内野手,0.316,19,2,6,0,0,0,1,4,3,0,1,0,0,0.321,0.316,0.637,0.000
中日ドラゴンズ,新保 茉良,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,山本 泰寛,内野手,0.273,22,1,6,1,0,0,1,3,2,0,2,0,0,0.267,0.318,0.585,0.045
中日ドラゴンズ,板山 祐太郎,内野手,0.241,29,1,7,1,0,1,3,8,2,0,0,0,0,0.237,0.379,0.616,0.138
中日ドラゴンズ,知野 直人,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,ロドリゲス,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,樋口 正修,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,尾田 剛樹,外野手,1.000,1,2,1,0,0,0,0,0,0,0,0,1,0,0.500,1.000,1.500,0.000
